Address,Depth,Status,Crawlability
https://example.com/,0,200,Crawlable
https://example.com/blog/,1,200,Crawlable
https://example.com/services/,1,200,Crawlable
https://example.com/about,1,200,Crawlable
https://example.com/contact,1,200,Crawlable
https://example.com/blog/seo-guide-2024,2,200,Crawlable
https://example.com/blog/content-strategy,2,200,Crawlable
https://example.com/blog/technical-seo,2,200,Crawlable
https://example.com/services/seo-audit,2,200,Crawlable
https://example.com/services/content-marketing,2,200,Crawlable
https://example.com/blog/keyword-research,2,200,Crawlable
https://example.com/pricing,1,200,Crawlable
https://example.com/solutions/enterprise,2,200,Crawlable
https://example.com/blog/link-building,2,200,Crawlable
https://example.com/faq,1,200,Crawlable
https://example.com/services/local-seo,2,200,Crawlable
https://example.com/blog/analytics,2,200,Crawlable
https://example.com/portfolio,1,200,Crawlable
https://example.com/resources,1,200,Crawlable
https://example.com/blog/conversion-rate,2,200,Crawlable
https://example.com/case-studies,1,200,Crawlable
https://example.com/services/ppc-management,2,200,Crawlable
https://example.com/blog/user-experience,2,200,Crawlable
https://example.com/terms,1,200,Crawlable
https://example.com/privacy,1,200,Crawlable
https://example.com/blog/page-speed,2,200,Crawlable
https://example.com/integration/stripe,2,200,Crawlable
https://example.com/integration/shopify,2,200,Crawlable
https://example.com/features,1,200,Crawlable
https://example.com/blog/mobile-optimization,2,200,Crawlable
https://example.com/webinars,1,200,Crawlable
https://example.com/downloads,1,200,Crawlable
https://example.com/api-docs,1,200,Crawlable
https://example.com/partners,1,200,Crawlable
https://example.com/community,1,200,Crawlable
https://example.com/blog/voice-search,2,200,Crawlable
https://example.com/status,1,404,Uncrawlable
https://example.com/careers,1,200,Crawlable
https://example.com/blog/video-seo,2,200,Crawlable
https://example.com/courses,1,200,Crawlable
https://example.com/templates,1,200,Crawlable
https://example.com/blog/schema-markup,2,200,Crawlable
https://example.com/docs/getting-started,2,200,Crawlable
https://example.com/tools/site-audit,2,200,Crawlable
https://example.com/blog/site-structure,2,200,Crawlable
https://example.com/support,1,200,Crawlable
https://example.com/products/premium,2,200,Crawlable
https://example.com/blog/crawl-budget,2,200,Crawlable
https://example.com/enterprise-solutions,1,200,Crawlable
https://example.com/docs/api-reference,2,200,Crawlable
https://example.com/blog/indexing,2,200,Crawlable
https://example.com/team,1,200,Crawlable
https://example.com/blog/machine-learning,2,200,Crawlable
https://example.com/integrations,1,200,Crawlable
https://example.com/blog/future-of-seo,2,200,Crawlable
https://example.com/security,1,200,Crawlable
https://example.com/change-log,1,200,Crawlable
https://example.com/docs/best-practices,2,200,Crawlable
https://example.com/blog/international-seo,2,200,Crawlable
https://example.com/forum,1,200,Crawlable
